Alliance Id,Alliance Tag,Building Power,City Sieges,Defeats,Faction,Gems,Gems Spent,Gold,Gold Spent,Helps Given,Hero Power,Highest Power,Home Server,In Power Rankings,Killcount T1,Killcount T2,Killcount T3,Killcount T4,Killcount T5,Legion Power,Lord Id,Mana,Mana Spent,Map Id,merits,Name,Ore,Power,Resources Given,Resources Given Count,Scouted,Stone Spent,T4 +T5,Tech Power,Town Center,Units Dead,Units Healed,Units Killed,Victories,Wood,Wood Spent
322047,EIf,1723745,-,,League of Order,-,5986,215290229,219892031,1130,420400,2523653,176,True,0,0,0,0,0,324722,17413889,5255372,13083600,176,-,fram Cs1,194073823,2523653,163606532,59,-,177398281,0,54786,21,-,27,-,3,230472617,234143142
324423,ICH,1371499,-,8,League of Order,-,27911,681778219,735752295,1931,492100,2553530,176,True,0,0,0,0,0,591869,15928016,-,20643750,176,-,ichi hokajimo 1,204617025,2553530,1136309140,515,-,294640358,0,98062,21,-,162912,41,236,739622567,752020617
324423,ICH,1178274,-,60,League of Order,-,23158,550519301,595014742,2334,579550,2558301,176,True,0,0,0,0,0,623753,15883100,-,29766280,176,-,ichi chihaja9,200550822,2558301,872826267,447,-,244551831,0,176724,20,-,48666,-,85,571718976,604077189
324423,ICH,1249756,-,377,League of Order,80,29750,2655603815,2586054859,7999,870300,2561526,176,True,10402,302,10,2002,653,371028,5697037,-,50033000,176,-,zelday5,1446174389,2561526,3315041809,1816,4,1408171469,2655,70442,21,38021,2057730,13369,635,1260340427,1438069681
324423,ICH,1372516,-,19,League of Order,-,26391,686758017,741227846,1991,494300,2567307,176,True,0,0,0,0,0,569180,15928020,-,21729800,176,-,ichi chihaja17,211457572,2567307,1148386466,519,-,296815406,0,131311,21,-,44978,-,226,758672992,771547357
324423,ICH,1372522,-,4,League of Order,-,26784,697673029,728781326,1949,494500,2575385,176,True,0,0,0,0,0,579940,15928019,-,21301200,176,-,ichi chihaja20,206026411,2575385,1124276581,511,-,286087542,0,128423,21,-,128797,-,245,720813176,740533055
275269,EIS,787322,-,189,Wilderburg,-,61831,842363187,1175382346,6618,872300,2579538,176,True,1112,0,0,206,3945,447753,14725852,420000,128803840,176,1240,J3busFarm,1860799185,2579538,873495883,529,1,1472329414,4151,472163,18,64932,3204240,5263,15,2621002725,2488169019
275269,EIS,1335176,-,61,League of Order,-,42753,1574765818,394164688,761,536300,2584687,176,True,111,2065,958,227,0,695230,10112267,-,9728000,176,-,Oktay farm 6,17362140,2584687,183937567,67,-,94315100,227,17981,21,6836,62183,3361,58,1890000,173565800
275269,EIS,900090,4,209,Springwardens,-,6280,811931271,524632933,3206,902580,2590998,176,True,25798,42685,17551,16499,0,682666,12617952,598862,6434500,176,-,EISFarm12,403263119,2590998,777377716,379,3,267980182,16499,105662,19,31461,904070,102533,546,607536212,409921974
324423,ICH,1151419,-,80,League of Order,-,25458,546751876,616428950,2339,593550,2595923,176,True,0,0,0,0,0,623283,15883102,-,29556080,176,-,ichi chihaja7,207265602,2595923,901705303,462,-,252393102,0,227671,20,-,56463,-,105,551959630,604976963
312253,RA-D,1372710,-,52,League of Order,-,7991,109470786,341164032,3830,387100,2601811,266,True,0,0,0,453,435,340071,16038190,8296716,36782550,266,83,彡TSR FARMwood,630696464,2601811,2492995558,964,-,591942457,888,501930,21,-,407759,888,18,3032699772,2489346595
322211,EIL,1361561,-,4,League of Order,-,5000,104014577,167236286,607,482000,2603282,176,True,0,0,0,0,0,181808,19082253,19236000,31893000,176,-,SgtObvious,175603402,2603282,-,-,1,178304809,0,577913,20,169,3108,24,39,224051273,240969786
324423,ICH,1358862,-,297,League of Order,880,32355,1469587418,1598800949,9778,671950,2605190,176,True,110785,1904,3352,4865,408,400299,4842229,-,48207750,176,-,ichi yukathis,1944554585,2605190,3171153298,2041,10,1874943474,5273,174079,21,61775,2038178,121314,392,1179422709,1269234425
338497,DE4D,1491463,-,1,League of Order,-,15563,433553355,468024438,3267,500240,2613408,176,True,0,0,0,0,0,430730,18627065,33391037,78289000,176,-,LordDonnie,324895089,2613408,444828649,208,-,316682032,0,190975,21,-,1425,-,14,354813835,440099951
324423,ICH,1377648,48,205,League of Order,-,10235,1268799712,1020367014,3513,628550,2621695,176,True,255804,34156,3586,14111,421,269170,5791897,615729,20562000,176,-,mery2e,440340668,2621695,1721782202,764,-,311090303,14532,346327,21,74511,1292228,318599,288,847759105,717887102
324423,ICH,1443824,-,7,League of Order,-,26781,697079808,745584864,1972,478400,2623906,176,True,0,0,0,0,0,569199,15928017,-,22407600,176,36,ichi chihaja18,206091535,2623906,1098006406,499,-,284376194,0,132483,21,-,260131,110,253,710750750,740559713
-,-,938089,-,413,Springwardens,206,,24606141,647500,11481,711520,2783695,266,True,12165,140117,95140,76938,0,710223,10994109,13137908,76500,266,-,Kregovi4,21407846,2624486,-,-,16,207400,76938,264654,20,18430,1001599,324360,1499,26492640,2270000
312253,RA-D,1260976,-,31,League of Order,-,9590,143577105,194158200,1777,782140,2635801,266,True,0,0,0,0,0,387553,19205515,13791340,15857550,266,-,Beri new 3,75459184,2635801,-,-,-,101520100,0,205132,21,-,46895,-,440,134599656,192085400
322047,EIf,1893608,-,1,League of Order,-,6360,241138595,284121732,843,356400,2640008,176,True,0,0,0,0,0,345162,17423442,3444000,15111200,176,-,erfram1,189097097,2640008,228539986,82,-,202970682,0,44838,21,-,16587,-,29,249074960,288095576
305973,RA-M,1359101,-,67,League of Order,-,8688,483559093,431317202,5659,498100,2641141,266,True,33,227,415,846,1153,570843,11894634,4371003,22730750,266,-,寺菜農場2,327266226,2641141,310483169,155,-,237958046,1999,213097,21,-,748569,2674,329,222943884,224126261
322211,EIL,1184791,-,1,League of Order,25,13368,53419912,153297780,2588,492550,2644838,176,True,2540,0,71,3014,0,384044,2066336,1614896,6777500,176,-,Mickou2farm,28273794,2644838,264030417,148,3,104021363,3014,583453,20,4318,44131,5625,264,59071663,152340016
277070,RA-S,1612474,-,50,League of Order,-,26148,1759122279,1510052672,3238,499650,2645969,266,True,0,0,0,0,0,456093,16617960,6486247,13583750,266,-,馬桶採金幣,60894648,2645969,1197039681,463,1,152169970,0,77752,21,-,3981,-,37,25452000,230388304
338497,DE4D,1495471,-,,League of Order,-,16016,451517899,551893287,3895,576670,2648035,176,True,0,0,0,0,0,359222,18991175,9278717,36726150,176,-,McChickin,310944156,2648035,767694434,365,-,345960529,0,216672,21,-,76,-,4,428372074,558230559
327183,~OH~,786145,-,27,League of Order,-,32908,453063829,494992044,913,1173620,2656069,266,True,0,0,0,0,0,486050,19074467,447928,17529500,266,-,sᴡᴀɴ ɪɪɪ,29544980,2656069,650379004,349,-,104032944,0,210254,19,-,98888,-,735,425607173,491762539
338497,DE4D,1509944,-,2,League of Order,-,16460,386017586,414267659,3417,603370,2677756,176,True,0,0,0,0,0,363210,19054458,3780000,30518200,176,-,McNuggetts,280207610,2677756,399833594,202,-,257379838,0,201232,21,-,493,-,9,333614999,371542548
312253,RA-D,1292777,-,36,League of Order,-,10045,137385170,190204300,2401,728790,2682934,266,True,0,0,0,0,0,436783,19117154,16632000,17111050,266,-,Beri New,80798307,2682934,-,-,-,102273000,0,224584,21,-,62333,-,444,139580095,199027400
312253,RA-D,1275094,-,30,League of Order,-,10090,139759779,187452800,2114,784340,2686641,266,True,0,0,0,0,0,410976,19125305,17084610,16687150,266,-,Beri New w,75169542,2686641,-,-,-,100213600,0,216231,21,-,49310,-,406,137175731,191061900
338497,DE4D,1512857,-,,League of Order,-,14985,483516094,593066583,3477,645970,2689991,176,True,0,0,0,0,0,387370,19043020,4173580,29663250,176,-,Whopperr,295267142,2689991,792768892,359,-,340306225,0,143794,21,-,6,-,4,413233587,571087731
305973,RA-M,510154,-,83,League of Order,-,15297,107385389,132464050,427,1241060,2695259,266,True,0,0,0,0,0,663715,19857279,11992492,16007900,266,-,Papern,63754678,2695259,1200000,4,-,59927875,0,274330,17,-,271337,-,1724,169368285,135787150
324423,ICH,1358557,1,245,League of Order,650,32685,2273219184,2169803691,10463,683550,2697333,176,True,70523,1264,1200,3193,742,484336,4788979,168000,57948750,176,-,ichi rayku,1512158527,2697333,3691679809,2364,10,1286682115,3935,170890,21,49420,2080955,76982,385,1395421299,1583122037
312253,RA-D,1274047,-,22,League of Order,-,12388,149973118,189541200,2468,811840,2713794,266,True,0,0,0,0,0,415735,19124402,17119205,16370400,266,-,Beri new a,81693662,2713794,-,-,-,101364550,0,212172,21,-,56172,-,416,151277075,198185000
327183,~OH~,1610400,-,21,League of Order,-,23713,254650844,202193040,631,434650,2714420,266,True,444,564,0,471,1223,475344,5525919,6426000,18255250,266,525,EazyMode GOLD,155194907,2714420,96838067,41,-,179094854,1694,194026,21,8831,429406,2702,47,88773955,176553487
324423,ICH,1298753,-,47,League of Order,-,25915,552882934,608690006,2315,607700,2716051,176,True,0,0,0,0,0,622433,15883101,-,29929830,176,-,ichi chihaja8,209838178,2716051,912449740,458,1,268547595,0,187165,21,-,38875,-,111,610823128,648302956
305973,RA-M,1345133,-,70,League of Order,-,4700,535609410,442487903,6182,490700,2717571,266,True,0,0,0,875,959,531692,11865682,4132199,27160320,266,-,寺菜農場4,324780461,2717571,380671960,163,-,256185965,1834,350046,21,431,560161,1834,298,330434647,258570009
322047,EIf,1865820,-,,League of Order,-,6868,225738898,255870187,832,433800,2717697,176,True,0,0,0,0,0,347923,17364858,8527107,14580850,176,-,erfram01,194936839,2717697,177495780,64,-,194512939,0,70154,21,-,17,-,5,236342039,255153469
275269,EIS,1414689,-,3,Springwardens,-,31362,31504601,139448500,858,315400,2720651,176,True,0,0,0,0,0,297945,15889349,29176217,31602500,176,-,KharnFarm,48063604,2720651,-,-,-,92699000,0,692617,20,-,398,-,21,66322177,141110300
186111,BYT,1558624,-,39,League of Order,2,3000,469386033,149103300,5781,634100,2733566,176,True,27770,13856,1481,8528,0,446276,1339349,2266277,11763600,176,-,ShAvEy 25,670930698,2733566,138690497,119,1,226761575,8528,94566,21,22085,38777,51635,400,593289389,179922544
275269,EIS,1348284,1,27,League of Order,20,19518,134870890,330978368,4555,898750,2735230,176,True,3281,721,0,0,46,385104,7544107,-,10290250,176,-,PRINCESS TV,1557194841,2735230,1335904317,558,2,1273942530,46,103092,21,89,98516,4048,465,118771041,337674346
324423,ICH,1358616,-,273,League of Order,-,33125,1769363575,1789537394,9893,744250,2736251,176,True,73845,5544,1404,3327,363,462106,4791650,-,42898750,176,-,ichi muzane,1476313256,2736251,3277380819,1864,14,1436276974,3690,171279,21,33935,1715337,84483,341,1641828145,1612661807
-,-,1536893,-,6,League of Order,-,4751,105148385,156395700,649,499200,2739247,266,True,0,0,0,0,0,399150,11458954,43847201,20195750,266,-,阿爾薩斯採集10,56340833,2739247,-,-,-,95696550,0,304004,21,-,1714,-,17,89970598,155429400
322047,EIf,1888406,-,,League of Order,-,6293,225548578,275052993,865,425000,2739389,176,True,0,0,0,0,0,373497,17423567,4678800,15141500,176,-,erfram2,203215499,2739389,232630553,85,-,213838242,0,52486,21,-,50,-,8,226000709,282421498
324423,ICH,1316000,-,71,League of Order,-,24604,598043612,642276938,2312,612400,2741160,176,True,0,0,0,0,0,626543,15883098,-,30971830,176,-,ichi chihaja6,214243165,2741160,952172197,483,-,277817171,0,186217,21,-,44915,-,105,598500743,660817179
312253,RA-D,1273819,-,40,League of Order,-,10170,147448081,187684200,2332,816690,2745590,266,True,0,0,0,0,0,423511,19124464,17663521,17389400,266,-,Beri new 2,80700712,2745590,-,-,-,101521050,0,231570,21,-,63147,-,425,145568666,190957400
275269,EIS,579492,-,125,Wilderburg,-,21535,644310080,686736248,791,990720,2748354,176,True,0,0,0,977,4091,919338,16944879,-,22329294,176,1618,M a n i L A 2,251897394,2748354,504610064,1225,-,178654764,5068,258804,17,14067,1685786,5068,485,18018000,219956934
324423,ICH,1358557,-,246,League of Order,80,32240,2141793728,2010301593,9827,798700,2752981,176,True,59781,1543,1620,6008,483,424834,4796121,-,48050250,176,-,ichi mizaru,1373525771,2752981,3207369977,2044,11,1309279100,6491,170890,21,54880,2085122,69435,370,1337142180,1385147145
322211,EIL,1594421,-,9,Wilderburg,-,26931,271106364,222013688,965,521600,2764733,176,True,0,0,0,0,0,329555,15937788,2814000,26337550,176,-,WilsFarm3,193566618,2764733,109613305,112,-,170685126,0,319157,21,-,5385,-,18,211505445,208635568
324423,ICH,1173784,-,42,League of Order,-,22023,496148692,547909477,3773,750520,2784658,176,True,991,2466,3404,2412,0,560730,4776845,-,25101130,176,-,ichisa3loukk2,247547483,2784658,853165807,398,-,238458727,2412,299624,20,13697,256280,9273,55,424544950,501026664
275269,EIS,1482152,-,53,League of Order,-,29625,1290907710,1126259912,3880,630670,2785983,176,True,38,25,438,36366,0,532215,13958648,205347,15546970,176,-,MiniMurda,808976121,2785983,2236174820,1036,-,718346022,36366,140946,21,22739,924900,36867,30,1410351874,1212793901
305973,RA-M,1307472,-,14,League of Order,-,11625,114435573,175288216,2593,608200,2790853,266,True,1273,450,0,0,48,522413,1651080,10033235,21232100,266,63,31Farmer04,74396332,2790853,-,-,-,101975378,48,352768,21,804,16695,1771,307,916679430,361402711
338497,DE4D,1638345,-,,League of Order,-,15658,463039644,577376431,4230,442900,2822069,176,True,0,0,0,0,0,459440,19024403,-,36020750,176,-,ChocoFrosty,341124514,2822069,839135932,384,-,384924947,0,281384,21,-,91,-,5,440193194,582971808
324423,ICH,1173784,-,29,League of Order,-,21796,542787736,589445193,3835,771320,2833139,176,True,5939,203,598,1390,0,587607,4776844,-,25238700,176,-,ichisa3loukk3,223910299,2833139,849679900,390,-,221957312,1390,300428,20,6107,185351,8130,56,396717811,481592649
322047,EIf,2051604,-,4,League of Order,-,3900,501973824,511747506,642,432600,2833544,176,True,0,0,0,0,0,332115,16722192,8025000,18036500,176,-,Applemini01,347757218,2833544,618995833,222,-,334398745,0,17225,21,-,15982,-,,451613763,483620318
324423,ICH,1221336,-,31,League of Order,-,22379,565124320,606437694,3885,777020,2836309,176,True,1699,937,1288,1146,0,565095,4776841,-,24129570,176,-,ichisa3loukk4,249448158,2836309,849300613,387,-,238551763,1146,272858,20,7675,203439,5070,61,354465148,451802146
305973,RA-M,1383523,-,59,League of Order,-,4100,536288462,374276083,6923,527400,2843131,266,True,81,102,635,3441,1059,533137,11865695,5023352,26911780,266,-,寺菜農場1,291339218,2843131,411869186,228,-,199087336,4500,399071,21,6821,714980,5318,479,251033036,174383513
277070,RA-S,1682303,-,,League of Order,-,12547,196766015,296868418,689,565600,2843527,266,True,0,0,0,0,0,553650,15865509,9487800,18925200,266,-,ᴰˢ RadiantVfarm2,270145338,2843527,257757529,93,-,281680312,0,41974,21,-,104,-,10,206890351,318621103
275269,EIS,1303963,-,29,League of Order,-,21876,68660043,158208293,5990,748450,2878478,176,True,2688,0,0,31,280,608980,12612217,3628473,7898000,176,148,BabyMurda,1553580371,2878478,1070459020,428,-,1160050389,311,217085,21,-,118408,2999,859,184030132,226092746
322211,EIL,1716914,-,19,Wilderburg,-,5531,195344203,194178771,709,549070,2886311,176,True,0,389,426,261,0,314498,16044872,6731068,24063150,176,-,Yavifarmio,158398887,2886311,-,-,-,121333542,261,305829,21,1077,35101,1076,401,181532124,190079645
338497,DE4D,1594120,-,,League of Order,-,14683,459616831,550360577,3770,464090,2896647,176,True,0,0,0,0,0,534356,18624873,30507401,116051500,176,-,LordNeighbor,329765312,2896647,626430390,266,-,371935463,0,304081,21,-,75,-,6,422579884,548648456
324423,ICH,1488900,-,127,League of Order,-,34110,1461757335,1524251344,2974,655850,2900376,176,True,40244,522,2298,14620,1918,658917,6070718,24899,89668900,176,-,YunFF,605574232,2900376,2511926365,1195,5,723089180,16538,96709,21,45220,1488440,59602,165,1249809697,1375358053
327419,css,1421299,-,108,League of Order,-,12078,393537978,474459438,601,599800,2908760,266,True,0,0,3903,0,202,561330,15860450,3318000,21531250,266,-,随便你吃,655823943,2908760,770164172,351,-,512607323,202,326331,21,2861,360794,4105,1245,520364770,460079333
322211,EIL,1624179,-,16,Wilderburg,-,38643,1037306951,1220922340,2528,608050,2913940,176,True,0,0,0,0,0,269926,17310705,-,43704850,176,-,Areheim 2,714457833,2913940,1775896799,732,-,694775644,0,411785,21,-,24111,-,195,458368949,772652755
338497,DE4D,1629031,-,2,League of Order,-,13389,450206389,584235846,4313,559970,2915374,176,True,0,0,0,0,0,383481,19024401,-,30279800,176,-,Baconater,314151697,2915374,829826583,415,-,378648883,0,342892,21,-,56,-,3,429768226,590595879
336902,RsS,1087967,10,331,League of Order,36,22076,122258228,163121934,4904,877920,2927109,176,True,98270,445341,108291,9792,0,436697,12992116,9949527,24764100,176,-,Coddy01,67424456,2927109,132295578,92,31,87108790,9792,524525,19,37030,650974,661802,782,246799811,256736770
305973,RA-M,1505682,-,154,League of Order,-,6197,570997419,418637033,6562,545300,2930585,266,True,1591,337,717,4383,1071,506644,11865693,5424948,26928030,266,-,寺菜農場6,311787276,2930585,388820863,160,1,217850519,5454,372959,21,297,696526,8099,354,320795486,232132752
322047,EIf,2142959,-,,League of Order,-,9365,501972716,215583900,615,364200,2936217,176,True,0,0,0,0,0,402450,16722100,14070000,16755250,176,-,Annhienmini04,358216375,2936217,-,-,-,135873150,0,26608,21,-,,-,,483542426,218439900
324423,ICH,1476299,-,221,League of Order,50,36627,1681409725,1402174308,11373,792400,2941222,176,True,8099,3496,4307,24162,2910,440294,5429334,-,97768500,176,-,itchi mikage,1784100461,2941222,3282246235,1417,-,1473071384,27072,232229,21,76009,1915239,42974,637,1326809001,1397499340
338497,DE4D,1545307,-,2,League of Order,-,9620,469524598,549316067,3823,656040,2945374,176,True,0,0,0,0,0,518220,18614178,16352336,61021250,176,-,lordleroy,288714907,2945374,645988965,271,-,364362280,0,225807,21,-,731,-,18,429275348,538776329
186111,BYT,1465206,-,11,League of Order,-,18110,609011039,702003327,2866,774900,2947589,176,True,1320,183,0,0,182,605163,9165309,126000,15329000,176,-,ShAvEy 16,1404373213,2947589,1819575772,759,1,1182873189,182,102320,21,-,60360,1685,279,687869404,725241193
327419,css,1387959,-,66,League of Order,-,13875,391143525,447824504,749,675600,2947791,266,True,0,7,663,747,115,592431,15864608,1932282,20747750,266,-,LUEY1,644683314,2947791,762028336,356,-,509904944,862,291801,21,8891,230936,1532,1245,558796302,481008864
312253,RA-D,923044,-,150,Springwardens,364,29695,61711632,142817790,3565,966950,2948212,266,True,3315,53437,96798,5936,0,619288,15434529,6679570,25439400,266,-,AeriEee,22039044,2948212,-,-,2,81667685,5936,438930,19,-,544323,159486,2162,43156680,140798800
-,-,1048734,9,153,Wilderburg,-,,24610704,,7628,939729,3217202,266,True,333307,410322,86695,61176,13493,552602,11055627,4156063,,266,-,ᴿᴰGhost,20492866,2968992,-,-,16,,74669,427927,20,42259,1575627,919646,774,20969352,
324423,ICH,1476299,-,198,League of Order,-,37586,2100504142,1886453314,11280,824000,2980112,176,True,49156,3529,4976,32393,4097,446694,5429331,126000,67777500,176,-,ichi ziori,1571891474,2980112,3327166535,1436,6,1360340057,36490,233119,21,83096,1799128,94151,633,1107311374,916279550
336902,RsS,935550,-,280,Wilderburg,-,16712,135330381,145674267,9977,930020,2980761,176,True,8572,30946,29572,18988,6969,586638,13136113,13466645,22363290,176,-,Coddy02,157435742,2980761,142054173,128,2,151732140,25957,528553,19,42533,240558,95047,1418,171370965,128874330
277070,RA-S,1383718,-,10,League of Order,-,15587,286522688,330462143,576,523700,2982054,266,True,0,0,0,0,0,634511,19453682,9673394,28513000,266,-,小隻獵犬11,161993656,2982054,220429618,79,-,196022420,0,440125,21,-,10299,-,197,277699370,336480775
322094,Buns,1417278,-,95,League of Order,-,47936,394210283,529301121,1111,830970,2983808,176,True,0,0,0,736,2459,470194,16975429,4878297,24285872,176,850,ᴸⁱˡChoca,148540250,2983808,940730658,381,-,244551059,3195,265366,21,-,1200375,3195,189,792038966,822999776
277070,RA-S,1383701,-,13,League of Order,-,18065,276217343,345927019,523,487400,2986976,266,True,0,0,0,0,0,633770,19451814,10121397,30102750,266,-,小隻獵犬9,178590525,2986976,245312020,88,-,199745498,0,482105,21,-,11755,-,251,254183585,349290039
327419,css,1403675,-,32,League of Order,-,13830,326032846,444391760,713,675000,2989521,266,True,0,10,1312,1432,31,613611,15864607,3948000,20971000,266,-,LIKEN,696863396,2989521,876382798,401,-,579783548,1463,297235,21,13082,268428,2785,1324,615709596,559061176
327419,css,1421049,-,22,League of Order,-,11530,420687539,496792916,600,668400,2993190,266,True,0,0,0,344,34,570558,15857556,3734292,22154000,266,-,你的帅坤,670855567,2993190,779796217,357,-,515620106,378,333183,21,4590,118562,378,1259,510788136,458232141
324423,ICH,1476299,-,227,League of Order,-,33699,1540760076,1483797030,11237,819750,2998079,176,True,21290,12469,34005,17574,3077,467635,5429332,42000,67762000,176,-,ichi RAkage,1272544564,2998079,3383794639,1463,4,1096316153,20651,234395,21,74679,1932461,88415,640,2058955215,1817744862
327419,css,1387959,-,17,League of Order,-,14120,310117352,447399511,752,726000,3013052,266,True,0,0,683,844,8,597900,15864609,2814000,21030250,266,-,领主15864609,679179553,3013052,843324566,385,-,543274945,852,301193,21,12648,198448,1535,1328,639785636,554854498
324423,ICH,1458321,-,38,League of Order,-,20633,543242562,611483817,3827,732970,3014475,176,True,3131,282,780,2002,0,536204,4776843,-,27369570,176,-,ichisa3loukk1,235389601,3014475,841174111,377,-,249904146,2002,286980,21,8391,205909,6195,60,395382620,503462095
327419,css,1413855,-,34,League of Order,-,11510,360116857,479883539,640,686900,3016454,266,True,2,57,93,493,39,559560,15860452,3696000,22821500,266,-,随便你吃2,681622009,3016454,821709724,377,-,509869334,532,356139,21,6226,162124,684,1230,598966185,538541144
275269,EIS,1216544,275,541,League of Order,-,1000,68632334,28197316,11445,802850,3022610,176,True,429407,547626,249034,34623,0,616617,871376,18630208,3491000,176,-,ZenatesFarm4,78473985,3022322,45450944,27,569,22983752,34623,386311,20,71552,971595,1376552,2046,90108522,29586952
324423,ICH,1510389,-,105,League of Order,-,35269,1535346333,1557676659,2848,674750,3023755,176,True,678,629,2971,11374,981,701720,6237608,-,100184940,176,-,foxgameD,627457499,3023755,2647015706,1240,3,844086671,12355,136896,21,40902,1473743,16633,221,1289765253,1411469718
305973,RA-M,1409586,-,9,League of Order,-,21104,1210008505,547989216,1053,597700,3033257,266,True,0,0,0,0,0,635838,17018899,12617200,24247100,266,-,31Farmer07,84591284,3033257,326708262,133,-,124369496,0,390133,21,-,6156,-,70,137508552,218476486
324423,ICH,1505361,-,154,League of Order,-,34495,1432177589,1502374041,2865,674450,3035136,176,True,0,497,5586,11858,1999,712427,6166604,16465,97186580,176,-,dragongameD,588514611,3035136,2442642999,1167,1,716397838,13857,142898,21,35999,1494011,19940,202,1218337670,1344126800
277070,RA-S,1384068,-,16,League of Order,-,16421,246799064,332040519,576,534400,3038313,266,True,0,0,0,0,0,646030,19452104,10733516,30274500,266,-,小隻獵犬10,185054365,3038313,249942693,90,-,207684024,0,473815,21,-,10049,-,218,315769980,364188664
322211,EIL,1434017,-,30,League of Order,-,23028,214935299,362799179,1354,566200,3046483,176,True,1444,660,294,315,8478,930467,7079106,420000,14516280,176,7359,Oktay farm1,1088423827,3046483,1259560607,564,-,895882695,8793,115799,21,2229,1225766,11191,20,1428207992,819132406
322211,EIL,1698060,-,2,Wilderburg,-,53684,800838178,1027019914,2380,635650,3057281,176,True,0,0,0,0,0,299310,15934699,-,43479650,176,-,Areheim 3,623807477,3057281,1600863457,585,-,623555372,0,424261,21,-,13013,-,105,530672788,844361544
322094,Buns,1264622,-,87,League of Order,-,21840,70062636,61527574,7191,671650,3062126,176,True,13692,15655,11984,21646,0,645166,7009020,2766776,10898900,176,-,JoshuaFarm2,224338912,3062126,23907425,15,37,35270400,21646,480688,20,47694,840326,62977,131,77376207,60802380
305973,RA-M,1382425,-,92,League of Order,-,38712,17072242,230961436,1339,1181250,3084178,266,True,0,0,0,3159,142,322671,16996561,1521381,16241848,266,-,Mudbugged,313271608,3084178,278991343,275,-,354323084,3301,197832,20,17470,145392,3301,223,8312574,244642614
327419,css,1397090,1,112,League of Order,-,13075,430782448,500936198,732,741900,3087459,266,True,0,10,1186,1175,160,612272,15864606,2184000,22306600,266,-,BBK1,702054079,3087459,893675390,407,-,582287211,1335,336197,21,13367,342304,2531,1346,529166216,516614090
277070,RA-S,1383724,-,19,League of Order,-,10797,252885163,277429134,554,557400,3092348,266,True,0,0,0,0,0,629830,19451602,10534406,31248750,266,-,小隻獵犬8,211214978,3092348,180100726,66,-,218351465,0,521394,21,-,11735,-,245,281086660,339264399
